date,dkk_eur
22/05/2017,0.13432
24/05/2017,0.13434
26/05/2017,0.1343
31/05/2017,0.13444
02/06/2017,0.1344
06/06/2017,0.13444
07/06/2017,0.13445
08/06/2017,0.13444
09/06/2017,0.13444
12/06/2017,0.13446
13/06/2017,0.13447
14/06/2017,0.13445
15/06/2017,0.13448
16/06/2017,0.13444
17/06/2017,0.13447
18/06/2017,0.13447
19/06/2017,0.13445
20/06/2017,0.13442
22/06/2017,0.13444
26/06/2017,0.13447
27/06/2017,0.13449
29/06/2017,0.13448
30/06/2017,0.13447
03/07/2017,0.13447
04/07/2017,0.13445
06/07/2017,0.13445
07/07/2017,0.13444
10/07/2017,0.13447
11/07/2017,0.13448
12/07/2017,0.13445
13/07/2017,0.13446
14/07/2017,0.13447
17/07/2017,0.13445
20/07/2017,0.13447
21/07/2017,0.13445
23/07/2017,0.13447
24/07/2017,0.13446
25/07/2017,0.13445
26/07/2017,0.13447
27/07/2017,0.13447
28/07/2017,0.13446
31/07/2017,0.13445
01/08/2017,0.13446
02/08/2017,0.13443
03/08/2017,0.13442
07/08/2017,0.13442
10/08/2017,0.13442
11/08/2017,0.13445
14/08/2017,0.13445
16/08/2017,0.13444
17/08/2017,0.13446
18/08/2017,0.13444
24/08/2017,0.13444
25/08/2017,0.1344
28/08/2017,0.13441
30/08/2017,0.13442
31/08/2017,0.13445
01/09/2017,0.13446
04/09/2017,0.13446
06/09/2017,0.1344
07/09/2017,0.13438
08/09/2017,0.13437
09/09/2017,0.13438
10/09/2017,0.13438
11/09/2017,0.13441
12/09/2017,0.13439
14/09/2017,0.13439
15/09/2017,0.13437
18/09/2017,0.13437
19/09/2017,0.13438
21/09/2017,0.13438
25/09/2017,0.1344
26/09/2017,0.1344
27/09/2017,0.13436
29/09/2017,0.13438
02/10/2017,0.13434
03/10/2017,0.13435
04/10/2017,0.13435
05/10/2017,0.13434
06/10/2017,0.13435
09/10/2017,0.13434
10/10/2017,0.13435
11/10/2017,0.13433
12/10/2017,0.13433
13/10/2017,0.13433
16/10/2017,0.13432
17/10/2017,0.13432
18/10/2017,0.13432
19/10/2017,0.13433
20/10/2017,0.13434
23/10/2017,0.13433
24/10/2017,0.13432
25/10/2017,0.13434
26/10/2017,0.13436
27/10/2017,0.13437
30/10/2017,0.13437
31/10/2017,0.13438
01/11/2017,0.13437
02/11/2017,0.13435
03/11/2017,0.13433
05/11/2017,0.13434
06/11/2017,0.13436
